Pays,Population,Pays,densite 1970,densite 2000,Pays,taux de fecondite,Pays,hommes 100 femmes,Nb de nouveau-nés,Pays, Taux de fécondité /CIA Factbook 2016,Taux de fécondité/ONU 2010–2015,Taux de natalité (‰ hab)/CIA Factbook 2016,Taux de natalité (‰ hab)/ONU 2010–2015,Pays,taux deurbanisation,pays,espérance de vie des deux sexes,pays,taux de croissance demographique,pays,Taux de mortalité ‰ hab/(ONU 2010–2015),0,Pays,"Taux de mortalité infantile/‰ naissances (2010–2015, ONU",Taucde mortalitePourcentage,"Taux de mortalité infantile/‰ naissances (2016, Banque mondiale)", Banque mondiale en poucentage,Pays,Tranches âge 0 a 14ans,Tranches âge 15 a 64 ans,Tranches âge plus de 65 ans,pays ,Age médian Hommes
 Viêt Nam,98 169 000,"233,8","232,1","236,1", Guinea-Bissau,4.72, Chine,"106,3","115,2", Timor oriental,"4,90","5,91","33,8","36,8", Islande,"94,2 %", Belgique,"78,6", Yémen,"2,97", Somalie,"13,3","12,3", Autriche,"3,09","0,3 %","3,50","0,4 %", Costa Rica,"21,9 %","68,9 %","9,2 %", Autriche,"42,7"
 République démocratique du Congo,92 378 000, Andorre,"13,2","28,5", Nigeria,4.67, Bahreïn,"106,3","105,5", Bénin,"4,86","5,22","35,5","38,4", Saint-Marin,"94,2 %", Norvège,"79,8", Somalie,"2,92", Gabon,"13,1","08,4", Allemagne,"3,10","0,3 %","3,80","0,4 %", Allemagne,"12,8 %","65,7 %","21,5 %", Azerbaïdjan,"29,3"
 Turquie,85 043 000,"51,7","76,7","116,0", Sudan,4.66, Gabon,"105,7","103,0", Tanzanie,"4,83","5,24","36,0","39,8", Japon,"93,9 %", Malte,"79,7", Burkina Faso,"2,89", Hongrie,"12,8","12,6", Estonie,"3,20","0,3 %","2,90","0,3 %", Djibouti,"32,5 %","63,3 %","4,3 %", Bahamas,"30,6"
 Iran,85 029 000,"139,1","179,7","163,7", Zambia,4.63, Pakistan,"105,6","108,7", Guinée,"4,82","5,13","35,4","37,5", Porto Rico,"93,6 %", Nouvelle-Zélande,"80,0", Tchad,"2,88", Nigeria,"12,7","12,6", Portugal,"3,29","0,3 %","3,50","0,4 %", Salvador,"26,4 %","65,2 %","8,4 %", Bahreïn,"33,5"
 Allemagne,83 900 000, Angola,"3,6","4,5", Cameroon,4.61, États fédérés de Micronésie,"105,0","106,2", Sierra Leone,"4,76","4,84","36,7","37,3", Israël,"92,2 %", Autriche,"79,0", Émirats arabes unis,"2,85", Moldavie,"12,6","11,4", Belgique,"3,33","0,3 %","3,90","0,4 %", Érythrée,"44,2 %","53,0 %","2,8 %", Bangladesh,"25,6"
 Thaïlande,69 951 000,"5,4","7,2","9,8", Sierra Leone,4.58, Papouasie-Nouvelle-Guinée,"103,5","108,0", Cameroun,"4,70","4,95","35,8","38,2", Argentine,"91,9 %", Irlande,"79,4", Angola,"2,78", Mali,"12,6","11,6", France,"3,34","0,3 %","3,90","0,4 %", Fidji,"28,6 %","65,3 %","6,1 %", Barbade,"36,5"
 Royaume-Uni[c],68 207 000,"13,2","18,7","24,7", Tanzania,4.45, Fidji,"103,4","106,0", République du Congo,"4,63","4,86","35,1","36,8", Pays-Bas,"91,0 %", Royaume-Uni,"79,4", Rwanda,"2,76", Estonie,"12,5","11,7", Pays-Bas,"3,46","0,3 %","3,80","0,4 %", France,"18,4 %","62,1 %","19,5 %", Belgique,"40,2"
 France[d],65 426 000, Anguilla (Royaume-Uni),"56,9","65,2", République du Congo,4.41, Îles Salomon,"103,4","106,6", Liberia,"4,60","4,83","33,9","35,8", Luxembourg,"90,4 %", Finlande,"78,3", Madagascar,"2,66", Zambie,"12,4","08,8", Danemark,"3,47","0,3 %","4,40","0,4 %", Gambie,"46,2 %","51,5 %","2,3 %", Belize,"22,2"
 Tanzanie,61 498 000,"71,1","74,5","92,6", Burkina Faso,4.39, Timor oriental,"103,2","105,0", République démocratique du Congo,"4,53","6,40","34,2","44,0", Chili,"89,7 %", Allemagne,"78,7", Kenya,"2,65", Niger,"12,1","10,7", Israël,"3,48","0,3 %","3,50","0,4 %", Ghana,"38,8 %","57,8 %","3,4 %", Bénin,"17,7"
 Italie,60 367 000,"123,0","153,0","167,2", Timor-Leste,4.32, Côte d'Ivoire,"103,1","103,0", Guinée équatoriale,"4,48","4,99","32,8","36,0", Australie,"89,6 %", Grèce,"78,3", Togo,"2,65", Croatie,"12,1","12,4", Suisse,"3,68","0,4 %","4,10","0,4 %", Guatemala,"36,2 %","58,9 %","4,9 %", Bermudes,"41,4"
