Pays,Population,Pays,densite 1970,densite 2000,Pays,taux de fecondite,Pays,hommes 100 femmes,Nb de nouveau-nés,Pays, Taux de fécondité /CIA Factbook 2016,Taux de fécondité/ONU 2010–2015,Taux de natalité (‰ hab)/CIA Factbook 2016,Taux de natalité (‰ hab)/ONU 2010–2015,Pays,taux deurbanisation,pays,espérance de vie des deux sexes,pays,taux de croissance demographique,pays,Taux de mortalité ‰ hab/(ONU 2010–2015),0,Pays,"Taux de mortalité infantile/‰ naissances (2010–2015, ONU",Taucde mortalitePourcentage,"Taux de mortalité infantile/‰ naissances (2016, Banque mondiale)", Banque mondiale en poucentage,Pays,Tranches âge 0 a 14ans,Tranches âge 15 a 64 ans,Tranches âge plus de 65 ans,pays ,Age médian Hommes
 Australie,25 788 000, Bangladesh,"291,1","370,3", Tuvalu,2.86, Panama,"100,6","105,0", Philippines,"3,06","3,05","24,0","24,1", Cuba,"77,2 %", Bahamas,"72,9", Népal,"1,97", Royaume-Uni,"09,4","09,0", Bahamas,"9,06","0,9 %","10,60","1,1 %", Nouvelle-Zélande,"20,1 %","64,7 %","15,2 %", Cuba,"40,0"
 Niger,25 131 000,"499,7","625,9","815,8", Syria,2.85, Tonga,"100,6","105,0", Tuvalu,"2,98","3,45","23,8","27,4", Biélorussie,"77,0 %", Vietnam,"71,3", Libye,"1,97", Suède,"09,4","09,5", Ukraine,"9,16","0,9 %","9,10","0,9 %",NaN,NaN,NaN,NaN, Curaçao (Pays-Bas),"33,3"
 Taïwan,23 855 000,"1 010,8","1 168,8","1 278,1", Tonga,2.81, Guinée,"100,5","102,4", Belize,"2,90","2,64","24,3","23,3", Colombie,"77,6 %", Hongrie,"72,3", Honduras,"1,95", France,"09,3","08,8", Liban,"9,29","0,9 %","8,10","0,8 %",NaN,NaN,NaN,NaN, Danemark,"41,0"
 Sri Lanka,21 497 000, Barbade,"490,7","537,1", Guam,2.81, Érythrée,"100,4","105,2", Nauru,"2,84","3,24","24,4","25,1", Allemagne,"75,5 %", Turquie,"72,6", Mozambique,"1,95", Corée du Nord,"09,3","08,6", Costa Rica,"9,33","0,9 %","8,80","0,9 %",NaN,NaN,NaN,NaN, Djibouti,"21,8"
 Burkina Faso,21 497 000,"555,5","586,5","605,5", Marshall Islands,2.81, Niger,"100,4","105,0", Oman,"2,84","2,92","24,3","21,5", Palestine,"75,5 %", Macédoine du Nord,"73,5", Îles Mariannes du Nord,"1,95", Guinée,"09,2","10,4", Grenade,"9,58","1,0 %","16,00","1,6 %",NaN,NaN,NaN,NaN, Dominique,"32,5"
 Mali,20 856 000,"627,6","650,2","666,0", Papua New Guinea,2.79, Soudan du Sud,"100,3","104,0", Guatemala,"2,83","3,19","24,5","26,6", Malaisie,"75,4 %", Algérie,"73,8", Zambie,"1,91", Malte,"09,2","08,7", Roumanie,"9,64","1,0 %","9,00","0,9 %",NaN,NaN,NaN,NaN, République dominicaine,"27,6"
 Malawi,19 648 000, Belgique,"285,3","302,8", Oman,2.73, Chypre,"100,3","107,0", Haïti,"2,79","3,13","23,3","25,5", Bulgarie,"74,3 %", Serbie,"72,9", Djibouti,"1,90", Espagne,"09,1","08,6", Serbie,"9,77","1,0 %","5,80","0,6 %",NaN,NaN,NaN,NaN, Égypte,"23,5"
 Chili,19 212 000,"318,1","325,9","330,5", Vanuatu,2.72, Bolivie,"100,3","105,0", Samoa,"2,77","4,16","20,6","26,4", Russie,"74,1 %", Iran,"74,5", Pakistan,"1,84", Macédoine du Nord,"09,1","09,6", Macédoine du Nord,"10,14","1,0 %","12,20","1,2 %",NaN,NaN,NaN,NaN, Émirats arabes unis,"32,1"
 Roumanie,19 128 000,"339,6","361,3","379,7", Guatemala,2.67, Tchad,"100,2","103,0", Laos,"2,76","2,93","23,9","25,5", Suisse,"74,0 %", Pérou,"73,1", Côte d'Ivoire,"1,84", Burundi,"09,0","11,6", Moldavie,"10,89","1,1 %","15,90","1,6 %",NaN,NaN,NaN,NaN, Équateur,"26,7"
 Kazakhstan,18 995 000, Belize,"3,0","4,0", Belize,2.66, Corée du Sud,"100,2","107,0", Algérie,"2,74","2,96","23,0","25,3", Turquie,"73,9 %", Barbade,"73,1", Irak,"1,84", Rwanda,"08,8","06,8", Thaïlande,"11,25","1,1 %","12,20","1,2 %",NaN,NaN,NaN,NaN, Érythrée,"19,0"
 Zambie,18 921 000,"5,4","6,3","8,2", Northern Mariana Islands,2.66, Cuba,"100,2","105,7", Eswatini,"2,74","3,30","24,3","30,2", Iran,"73,9 %", Tunisie,"73,0", République centrafricaine,"1,83", Pays-Bas,"08,8","08,3", Chine,"11,65","1,2 %","9,90","1,0 %",NaN,NaN,NaN,NaN, Espagne,"41,2"
 Syrie,18 276 000,"10,8","14,1","16,8", Nauru,2.65, Cameroun,"100,1","103,0", Honduras,"2,72","2,65","22,8","23,0", Tchéquie,"73,0 %", Sainte-Lucie,"72,6", Paraguay,"1,80", Porto Rico,"08,8","07,9", Turquie,"12,61","1,3 %","12,70","1,3 %",NaN,NaN,NaN,NaN, Estonie,"37,6"
 Guatemala,18 250 000, Bénin,"20,0","21,6", Israel,2.57, République du Congo,"100,1","103,0", Bolivie,"2,68","3,04","22,4","24,4", Mongolie,"72,8 %", Malaisie,"72,7", Bahreïn,"1,79", Trinité-et-Tobago,"08,7","09,2", Uruguay,"12,67","1,3 %","9,20","0,9 %",NaN,NaN,NaN,NaN, Eswatini,"21,2"
 Équateur,17 888 000,"25,8","33,0","44,2", Laos,2.57, Taïwan,"100,1","109,0", Lesotho,"2,68","3,26","25,1","28,7", Hongrie,"71,7 %", Roumanie,"71,4", Bolivie,"1,77", Cuba,"08,6","07,6", Arménie,"13,22","1,3 %","13,40","1,3 %",NaN,NaN,NaN,NaN, États-Unis,"36,6"
 Sénégal,17 196 000,"60,9","81,6","101,9", Algeria,2.55, Costa Rica,"100,1","105,0", Pakistan,"2,68","3,72","22,3","29,7", Algérie,"71,3 %", Brésil,"71,4", Irlande,"1,77", Saint-Marin,"08,6","08,8", Géorgie,"13,66","1,4 %","10,70","1,1 %",NaN,NaN,NaN,NaN, Éthiopie,"17,6"
 Pays-Bas[f],17 173 000, Bermudes (Royaume-Uni),"745,2","898,9", Kyrgyzstan,2.52, Mali,"100,0","105,0", Tadjikistan,"2,67","3,50","23,8","30,2", Ukraine,"69,9 %", Liban,"73,5", Maldives,"1,76", Tuvalu,"08,6","09,5", Argentine,"13,69","1,4 %","11,10","1,1 %",NaN,NaN,NaN,NaN, Îles Féroé (Danemark),"37,1"
 Cambodge,16 946 000,"1 045,7","1 139,8","1 218,6", Eswatini,2.48, Macédoine du Nord,"100,0","105,4", Israël,"2,66","3,04","18,3","21,4", Irak,"69,6 %", Thaïlande,"71,9", Égypte,"1,76", Barbade,"08,5","10,5", Venezuela,"13,78","1,4 %","16,30","1,6 %",NaN,NaN,NaN,NaN, Fidji,"28,4"
 Tchad,16 915 000,"1 280,6","1 279,1","1 221,4", Tajikistan,2.48, Équateur,"100,0","105,0", Kirghizistan,"2,64","3,12","22,6","27,1", Italie,"69,1 %", Sri Lanka,"71,6", Cambodge,"1,74", Canada,"08,5","07,3", Kazakhstan,"14,12","1,4 %","11,40","1,1 %",NaN,NaN,NaN,NaN, Finlande,"40,8"
 Somalie,16 360 000, Bhoutan,"4,6","5,9", Haiti,2.48, Suède,"99,9","106,0", Cambodge,"2,56","2,70","23,4","24,5", Bolivie,"68,9 %", Arménie,"71,6", Laos,"1,74", Sénégal,"08,3","06,6", Belize,"14,33","1,4 %","14,90","1,5 %",NaN,NaN,NaN,NaN, France,"39,5"
 Zimbabwe,15 092 000,"7,8","10,7","14,1", Samoa,2.46, Soudan,"99,8","104,0", Syrie,"2,55","3,10","21,7","24,3", Estonie,"67,5 %", Nicaragua,"71,5", Philippines,"1,72", Suisse,"08,2","08,1", Albanie,"14,42","1,4 %","13,50","1,4 %",NaN,NaN,NaN,NaN, Gabon,"18,4"
 Guinée,13 497 000,"15,0","19,1","21,4", Bolivia,2.45, Pérou,"99,8","105,0", Malaisie,"2,53","2,11","19,4","17,2", Lettonie,"67,4 %", Colombie,"71,2", Malaisie,"1,69",Sahara occidental,"08,2","05,1", Iran,"14,78","1,5 %","15,10","1,5 %",NaN,NaN,NaN,NaN, Gambie,"20,4"
 Rwanda,13 277 000, Biélorussie,"38,2","40,3", Botswana,2.42, Éthiopie,"99,7","104,0", États fédérés de Micronésie,"2,45","3,00","20,3","23,6", Salvador,"67,2 %", Koweït,"73,7", Bangladesh,"1,67", Kazakhstan,"08,2","08,9", Jamaïque,"15,04","1,5 %","15,30","1,5 %",NaN,NaN,NaN,NaN, Géorgie,"35,1"
 Bénin,12 451 000,"44,2","47,5","50,4", Cambodia,2.36, République démocratique du Congo,"99,5","105,0", Fidji,"2,44","2,60","19,0","20,7", Tunisie,"67,0 %", Honduras,"72,3", Venezuela,"1,67", États-Unis,"08,2","08,2", Panama,"15,16","1,5 %","16,40","1,6 %",NaN,NaN,NaN,NaN, Ghana,"20,5"
 Burundi,12 255 000,"49,0","46,7","46,6", Faroe Islands,2.30, Madagascar,"99,4","103,0", Koweït,"2,44","2,05","19,6","18,0", Panama,"66,9 %", Île Maurice,"71,4", Israël,"1,66", Norvège,"08,1","08,2", Arabie saoudite,"15,34","1,5 %","12,90","1,3 %",NaN,NaN,NaN,NaN, Gibraltar (Royaume-Uni),"33,6"
 Tunisie,11 936 000, Birmanie,"26,3","32,1", Morocco,2.29, Laos,"99,4","105,0", Kiribati,"2,43","3,79","21,3","29,2", Chypre,"66,8 %", Lettonie,"69,6", Panama,"1,65", Mauritanie,"08,1","08,2", Salvador,"17,03","1,7 %","15,00","1,5 %",NaN,NaN,NaN,NaN, Grèce,"43,1"
 Bolivie,11 833 000,"40,4","51,1","62,2", Fiji,2.28, Belize,"99,4","103,0",Moyenne mondiale,"2,41","2,47","19,3","19,6", Lituanie,"66,5 %", Arabie saoudite,"73,2", Sao Tomé-et-Principe,"1,61", Grenade,"08,1","07,2", Jordanie,"17,07","1,7 %","17,60","1,8 %",NaN,NaN,NaN,NaN, Groenland (Danemark),"35,0"
 Belgique,11 632 000,"70,6","76,8","82,4", India,2.28, Honduras,"99,4","105,0", Inde,"2,38","2,44","19,3","20,0", Cap-Vert,"66,2 %", Bulgarie,"71,1", Haïti,"1,58", Malawi,"08,1","08,3", Suriname,"17,37","1,7 %","20,00","2,0 %",NaN,NaN,NaN,NaN, Grenade,"29,8"
 Haïti,11 542 000, Bolivie,"2,9","3,4", American Samoa,2.28, Australie,"99,4","105,5", Djibouti,"2,35","3,10","23,6","24,3", Autriche,"66,0 %", Géorgie,"70,3", Kiribati,"1,58", Namibie,"08,1","08,3", Syrie,"17,87","1,8 %","17,50","1,8 %",NaN,NaN,NaN,NaN, Guam (États-Unis),"29,8"
 Soudan du Sud,11 381 000,"4,2","5,2","6,3", FSM,2.27, Somalie,"99,3","103,0", Venezuela,"2,35","2,40","19,2","20,1", Suriname,"66,0 %", Maroc,"73,3", Nouvelle-Calédonie,"1,54", Guinée équatoriale,"08,0","10,7", Colombie,"17,92","1,8 %","15,30","1,5 %",NaN,NaN,NaN,NaN, Guatemala,"21,0"
 Cuba,11 317 000,"7,7","9,2","10,4", Kuwait,2.25, Bénin,"99,3","104,1", Émirats arabes unis,"2,33","1,82","15,3","10,8", République du Congo,"65,8 %", Jordanie,"72,5", Tadjikistan,"1,51", Bénin,"08,0","09,7", Pérou,"18,63","1,9 %","15,30","1,5 %",NaN,NaN,NaN,NaN, Guernesey (Royaume-Uni),"42,3"
 République dominicaine,10 954 000, Bosnie-Herzégovine,"52,2","63,2", Venezuela,2.24, Togo,"99,3","101,8", Panama,"2,33","2,60","18,1","20,6", Sao Tomé-et-Principe,"65,6 %", Venezuela,"70,0", Algérie,"1,51", Soudan du Sud,"08,0","11,9", Tunisie,"18,70","1,9 %","13,60","1,4 %",NaN,NaN,NaN,NaN, Guinée,"18,6"
 Tchéquie,10 725 000,"73,7","82,0","87,5", Dominican Republic,2.23, Ouzbékistan,"99,3","108,1", Guam,"2,31","2,42","16,7","17,3", Afrique du Sud,"65,3 %", Paraguay,"72,2", Îles Caïmans,"1,51", Palaos,"08,0","08,6", Mexique,"18,79","1,9 %","14,60","1,5 %",NaN,NaN,NaN,NaN, Guinée-Bissau,"19,5"
 Grèce,10 371 000,"73,9","73,0","68,7", Kiribati,2.23, République dominicaine,"99,3","105,0", Afrique du Sud,"2,31","2,55","20,5","22,0", Monténégro,"64,2 %", Samoa,"70,9", Costa Rica,"1,50",Moyenne mondiale,"07,9","07,7", Égypte,"18,92","1,9 %","22,80","2,3 %",NaN,NaN,NaN,NaN, Guinée équatoriale,"19,1"
 Jordanie,10 269 000, Botswana,"0,7","0,9", Panama,2.21, Sao Tomé-et-Principe,"99,2","103,0", République dominicaine,"2,31","2,53","18,6","21,4", Portugal,"64,0 %", République dominicaine,"70,9", Gabon,"1,48", Birmanie,"07,9","08,1", Viêt Nam,"19,32","1,9 %","21,60","2,2 %",NaN,NaN,NaN,NaN, Guyana,"25,5"
 Azerbaïdjan[g],10 223 000,"1,2","1,8","2,4", South Africa,2.20, Burkina Faso,"99,2","104,6", Botswana,"2,30","2,88","20,7","25,1", Équateur,"64,0 %", Grenade,"71,2", République dominicaine,"1,47", Dominique,"07,9","07,6", Paraguay,"19,56","2,0 %","19,90","2,0 %",NaN,NaN,NaN,NaN, Haïti,"22,4"
 Portugal,10 168 000,"3,0","3,6","4,1", Argentina,2.20, Cap-Vert,"99,2","103,0", Argentine,"2,28","2,34","17,0","17,8", Irlande,"63,5 %", Lituanie,"68,1", Inde,"1,46", Éthiopie,"07,9","07,6", Samoa,"19,67","2,0 %","17,30","1,7 %",NaN,NaN,NaN,NaN, Honduras,"22,3"
 Suède,10 160 000, Brésil,"6,5","8,6", Mexico,2.17, Mexique,"99,2","105,0", Kazakhstan,"2,28","2,70","18,7","22,8", Arménie,"62,6 %", Tonga,"70,6", Ouzbékistan,"1,44", Thaïlande,"07,9","07,5", Nicaragua,"19,96","2,0 %","19,70","2,0 %",NaN,NaN,NaN,NaN, Hong Kong (Chine),"43,2"
 Honduras,10 063 000,"11,4","14,5","17,9", Djibouti,2.17, Venezuela,"99,2","105,0", Cap-Vert,"2,26","2,50","20,2","21,8", Corée du Nord,"61,0 %", El Salvador,"68,8", Bhoutan,"1,43", Tanzanie,"07,8","07,9", Brésil,"20,33","2,0 %","15,10","1,5 %",NaN,NaN,NaN,NaN, Hongrie,"39,9"
 Émirats arabes unis,9 991 000,"21,0","23,5","25,2", Cabo Verde,2.14, Azerbaïdjan,"99,1","113,2", Équateur,"2,22","2,56","18,2","21,2", Maroc,"60,7 %", Cap-Vert,"71,3", Anguilla,"1,41", Chine,"07,7","07,0", Tonga,"20,44","2,0 %","16,40","1,6 %",NaN,NaN,NaN,NaN, Islande,"35,7"
 Tadjikistan,9 750 000, Brunei,"9,1","15,5", Colombia,2.14, Ghana,"99,0","105,3", Bangladesh,"2,19","2,22","19,0","20,2", Pologne,"60,5 %", Saint-Vincent-et-les-Grenadines,"71,3", Salvador,"1,37", Haïti,"07,7","08,9", Palestine,"20,63","2,1 %","19,40","1,9 %",NaN,NaN,NaN,NaN, Inde,"26,9"
 Hongrie,9 634 000,"24,6","36,8","49,1", Kazakhstan,2.13, Jamaïque,"99,0","105,0", Népal,"2,18","2,32","19,9","20,9", Mauritanie,"60,4 %", Seychelles,"69,1", Îles Turques-et-Caïques,"1,37", Cambodge,"07,6","06,3", Équateur,"21,06","2,1 %","20,90","2,1 %",NaN,NaN,NaN,NaN, Indonésie,"29,3"
 Biélorussie,9 443 000,"63,2","73,7","82,4", Bangladesh,2.10, Ouganda,"98,9","103,0", Mexique,"2,16","2,29","18,3","19,4", Gambie,"60,2 %", Libye,"70,1", Iran,"1,35", Sainte-Lucie,"07,6","07,4", Kirghizistan,"21,22","2,1 %","21,10","2,1 %",NaN,NaN,NaN,NaN, Irak,"19,6"
 Papouasie-Nouvelle-Guinée,9 119 000, Bulgarie,"66,8","72,6", Îles Cook,2.09, Danemark,"98,9","105,6", Pérou,"2,15","2,50","18,0","20,4", Paraguay,"59,9 %", Azerbaijan,"69,6", Antilles néerlandaises,"1,33", Djibouti,"07,6","08,5", Corée du Nord,"21,99","2,2 %","20,00","2,0 %",NaN,NaN,NaN,NaN, Iran,"29,1"
 Autriche,9 043 000,"78,4","81,8","81,4", El Salvador,2.07, Pays-Bas,"98,9","105,3", Birmanie,"2,15","2,30","18,2","18,7", Haïti,"59,8 %", Belarus,"66,5", Viêt Nam,"1,32", Soudan,"07,5","07,8", Guatemala,"22,64","2,3 %","28,50","2,9 %",NaN,NaN,NaN,NaN, Irlande,"36,1"
 Israël,8 790 000,"73,7","68,2","64,8", Guyana,2.07, Kenya,"98,8","103,0", Indonésie,"2,13","2,45","16,4","20,2", Croatie,"59,3 %", Moldavie,"67,9", Turkménistan,"1,32", Laos,"07,5","07,0", Philippines,"23,17","2,3 %","27,10","2,7 %",NaN,NaN,NaN,NaN, Île de Man (Royaume-Uni),"43,2"
 Suisse,8 715 000, Burkina Faso,"15,7","17,7", Ecuador,2.07, Zambie,"98,5","103,0", Mongolie,"2,13","2,83","19,6","26,0", Nicaragua,"59,1 %", Vanuatu,"70,1", Namibie,"1,32", Argentine,"07,5","07,6", Libye,"24,29","2,4 %","12,90","1,3 %",NaN,NaN,NaN,NaN, Israël,"29,1"
 Serbie[h],8 698 000,"20,6","24,9","32,2", Vietnam,2.06, Slovénie,"98,5","105,4", Maroc,"2,12","2,60","18,0","21,3", Albanie,"58,3 %", Guatemala,"68,5", Polynésie française,"1,31", Nouvelle-Zélande,"07,4","06,9", Trinité-et-Tobago,"24,76","2,5 %","18,50","1,9 %",NaN,NaN,NaN,NaN, Italie,"44,0"
 Togo,8 478 000,"42,4","57,0","72,2", Jamaica,2.06, Israël,"98,4","105,3", Arabie saoudite,"2,11","2,72","18,4","20,8", Syrie,"58,1 %", Bangladesh,"70,6", Nicaragua,"1,31", Guyana,"07,4","08,1", Indonésie,"24,97","2,5 %","26,40","2,6 %",NaN,NaN,NaN,NaN, Jamaïque,"25,1"
 Sierra Leone,8 141 000, Burundi,"89,9","108,5", Honduras,2.05, Irlande,"98,4","106,0", Sri Lanka,"2,09","2,11","15,5","16,4", Botswana,"57,7 %", Suriname,"68,6", Guam,"1,30", Comores,"07,4","07,8", République dominicaine,"25,09","2,5 %","30,70","3,1 %",NaN,NaN,NaN,NaN, Japon,"45,6"
 Hong Kong,7 553 000,"134,6","160,3","210,9", Burma,2.05, Canada,"98,4","105,6", Turkménistan,"2,08","3,00","19,3","27,0", Macédoine du Nord,"57,2 %", Ukraine,"66,3", Saint-Christophe-et-Niévès,"1,27", Saint-Vincent-et-les-Grenadines,"07,3","07,0", Mongolie,"25,79","2,6 %","17,90","1,8 %",NaN,NaN,NaN,NaN, Jersey (Royaume-Uni),"36,2"
 Laos,7 379 000,"249,2","341,4","436,8", France,2.04, Seychelles,"98,3","106,0", France,"2,07","1,98","12,3","12,1", Chine,"56,8 %", Trinité-et-Tobago,"67,9", Colombie,"1,27", Érythrée,"07,3","07,7", Maroc,"26,30","2,6 %","27,10","2,7 %",NaN,NaN,NaN,NaN, Jordanie,"21,9"
 Paraguay,7 220 000, Îles Caïmans (Royaume-Uni),"26,7","32,8", Indonesia,2.04, Kirghizistan,"98,3","105,8", Dominique,"2,04","2,12","15,2","15,6", Serbie,"55,7 %", Kirghizistan,"67,2", La Réunion,"1,27", Inde,"07,3","07,3", Honduras,"27,79","2,8 %","18,70","1,9 %",NaN,NaN,NaN,NaN, Kazakhstan,"29,0"
 Libye,6 959 000,"38,1","67,3","104,2", Turkmenistan,2.04, Malawi,"98,1","103,0", Grenade,"2,04","2,18","15,8","17,4", Honduras,"55,3 %", Égypte,"68,8", Brésil,"1,26", Taïwan,"07,3","06,8", Cambodge,"29,92","3,0 %","30,60","3,1 %",NaN,NaN,NaN,NaN, Kenya,"19,4"
 Bulgarie,6 897 000,"173,7","231,3","259,8", Tunisia,2.03, Maurice,"98,1","104,2", Guyana,"2,04","2,60","15,5","21,1", Jamaïque,"55,0 %", Bolivie,"68,2", Turquie,"1,26", Luxembourg,"07,3","07,4", Algérie,"30,28","3,0 %","25,20","2,5 %",NaN,NaN,NaN,NaN, Kiribati,"23,4"
 Liban,6 769 000, Cambodge,"25,1","32,4", Peru,2.02, Mongolie,"98,1","103,0", Libye,"2,04","2,40","17,8","21,3", Cameroun,"54,9 %", Corée du Nord,"67,0", Botswana,"1,23", Liechtenstein,"07,3","07,4", Bhoutan,"30,49","3,0 %","32,40","3,2 %",NaN,NaN,NaN,NaN, Kosovo,"28,3"
 Nicaragua,6 702 000,"39,6","37,9","50,8", Dominica,2.02, Chili,"98,1","104,0", Turquie,"2,03","2,12","16,0","17,3", Azerbaïdjan,"54,9 %", Russie,"64,7"," Sainte-Hélène, Ascension et Tristan da Cunha[4]","1,23", Australie,"07,2","06,6", Irak,"32,13","3,2 %","31,20","3,1 %",NaN,NaN,NaN,NaN, Koweït,"30,3"
 Kirghizistan,6 628 000,"68,8","81,1","92,0", Îles Vierges des États-Unis,2.01, Gambie,"98,0","103,0", Nouvelle-Zélande,"2,03","2,04","13,3","13,7", Côte d'Ivoire,"54,9 %", Kazakhstan,"65,7", Maroc,"1,20", Hong Kong,"07,2","06,4", Népal,"32,36","3,2 %","34,50","3,5 %",NaN,NaN,NaN,NaN, Kirghizistan,"25,2"
 Salvador,6 518 000, Cameroun,"9,1","11,0", Sint Maarten,2.00, Sierra Leone,"98,0","101,8", Colombie,"2,02","1,93","16,3","16,2", Roumanie,"54,7 %", Belize,"67,5", Bahamas,"1,20", Gambie,"07,1","08,6", Botswana,"32,49","3,2 %","40,60","4,1 %",NaN,NaN,NaN,NaN, Laos,"22,4"
 Turkménistan,6 118 000,"13,8","18,2","24,8", Sri Lanka,2.00, Suisse,"98,0","105,2", Antigua-et-Barbuda,"2,01","2,10","15,8","16,8", Ghana,"54,7 %", Fiji,"67,0", Singapour,"1,19", Saint-Christophe-et-Niévès,"07,1","06,8", États fédérés de Micronésie,"32,66","3,3 %","33,30","3,3 %",NaN,NaN,NaN,NaN, Lesotho,"24,0"
 Singapour,5 897 000,"32,3","42,2","52,2", Curacao,1.99, Maroc,"97,9","106,0", Islande,"2,01","1,98","13,8","13,8", Indonésie,"54,5 %", Bhoutan,"69,5", Monde,"1,17", Bahamas,"07,1","06,0", Bangladesh,"33,10","3,3 %","34,20","3,4 %",NaN,NaN,NaN,NaN, Lettonie,"39,5"
 Danemark[i],5 813 000, Canada,"1,5","2,0", Bahamas,1.98, Viêt Nam,"97,9","110,2", Jamaïque,"1,99","2,08","18,0","17,2",Moyenne mondiale (115),"54,3 %", Tadjikistan,"66,6", Indonésie,"1,16", Kiribati,"07,1","07,9", Guyana,"33,23","3,3 %","32,40","3,2 %",NaN,NaN,NaN,NaN, Liban,"29,3"
 République du Congo,5 657 000,"2,4","2,7","3,0", Iceland,1.96, Haïti,"97,9","105,0", Irlande,"1,98","2,00","14,5","15,4", Seychelles,"54,2 %", Micronésie,"68,1", Antigua-et-Barbuda,"1,16", Azerbaïdjan,"07,1","06,7", Namibie,"33,53","3,4 %","45,20","4,5 %",NaN,NaN,NaN,NaN, Liberia,"18,1"
 Finlande,5 548 000,"3,4","3,8","4,1", Antigua and Barbuda,1.96, États-Unis,"97,9","104,8", Tunisie,"1,98","2,25","16,4","19,1", Fidji,"54,1 %", Ouzbékistan,"66,1", Pérou,"1,15", Togo,"07,1","09,3", Madagascar,"36,78","3,7 %","46,40","4,6 %",NaN,NaN,NaN,NaN, Libye,"28,6"
 Norvège,5 466 000, Cap-Vert,"44,2","50,2", Saudi Arabia,1.95, Tanzanie,"97,7","103,0", Corée du Nord,"1,96","1,95","14,6","14,0", Géorgie,"53,8 %", Salomon,"67,9", Montserrat,"1,15", Andorre,"07,1","07,5", Tanzanie,"36,96","3,7 %","56,70","5,7 %",NaN,NaN,NaN,NaN, Liechtenstein,"41,7"
 Slovaquie,5 461 000,"67,0","71,1","84,8", Grenada,1.95, Tunisie,"97,7","105,0", Suriname,"1,95","2,45","16,0","19,0", Slovaquie,"53,5 %", Nepal,"67,7", Luxembourg,"1,13", Ghana,"07,1","08,8",Sahara occidental,"37,24","3,7 %",…,…,NaN,NaN,NaN,NaN, Lituanie,"39,5"
 Palestine[j],5 223 000,"108,0","124,7","137,3", Turkey,1.94, Botswana,"97,7","103,0", Bahamas,"1,95","1,81","15,4","14,8", Kazakhstan,"53,2 %", Indonésie,"67,1", Îles Vierges britanniques,"1,13", Maurice,"07,0","07,4", Îles Salomon,"38,04","3,8 %","25,80","2,6 %",NaN,NaN,NaN,NaN, Luxembourg,"38,6"
 Oman,5 223 000, République centrafricaine,"2,1","2,4", Iran,1.93, Singapour,"97,6","107,3", Bhoutan,"1,93","2,20","17,5","19,3", Guatemala,"52,0 %", Irak,"66,2", Mexique,"1,12", Sao Tomé-et-Principe,"07,0","07,1", Afrique du Sud,"38,32","3,8 %","43,30","4,3 %",NaN,NaN,NaN,NaN, Macao (Chine),"39,1"
 Liberia,5 180 000,"2,9","3,7","4,7", Nepal,1.93, Trinité-et-Tobago,"97,4","103,8", Nicaragua,"1,92","2,32","17,9","21,0", Thaïlande,"51,5 %", Mongolie,"64,7", Sainte-Lucie,"1,12", Seychelles,"06,9","07,9", Azerbaïdjan,"39,60","4,0 %","30,90","3,1 %",NaN,NaN,NaN,NaN, Macédoine du Nord,"36,4"
 Costa Rica,5 139 000,"6,0","7,1","7,6", Mongolia,1.93, République centrafricaine,"97,3","103,0", Paraguay,"1,91","2,60","16,5","21,7", Turkménistan,"50,4 %", Cambodge,"66,6", Sainte-Lucie,"1,10", Kenya,"06,8","06,3", Tadjikistan,"39,88","4,0 %","43,10","4,3 %",NaN,NaN,NaN,NaN, Madagascar,"19,3"
 Irlande,4 983 000, Chili,"8,3","10,4", Ireland,1.93, Monténégro,"97,3","106,1", Costa Rica,"1,90","1,85","15,7","15,1", Liberia,"50,1 %", Philippines,"65,3", Tunisie,"1,08", Chypre,"06,7","06,8", Inde,"41,36","4,1 %","43,00","4,3 %",NaN,NaN,NaN,NaN, Malaisie,"28,0"
 République centrafricaine,4 920 000,"12,9","15,2","17,8", Kosovo,1.92, Royaume-Uni,"97,2","105,1", Qatar,"1,90","2,00","9,7","10,9", Guinée-Bissau,"50,1 %", Inde,"66,9", Équateur,"1,07", Madagascar,"06,7","06,9", Bolivie,"42,95","4,3 %","36,90","3,7 %",NaN,NaN,NaN,NaN, Malawi,"16,3"
 Nouvelle-Zélande[k],4 861 000,"20,5","22,9","24,5", Greenland,1.92, Nicaragua,"97,2","105,0", Azerbaïdjan,"1,90","2,10","16,2","19,2", Slovénie,"49,6 %", Timor oriental,"66,6", Chypre,"1,06", Jamaïque,"06,7","06,8", Gabon,"43,18","4,3 %","47,40","4,7 %",NaN,NaN,NaN,NaN, Maldives,"27,8"
 Mauritanie,4 775 000, Chine[a],"59,1","70,1", Gibraltar,1.91, Kiribati,"97,2","106,2", Royaume-Uni,"1,89","1,88","12,1","12,4", Nigeria,"48,6 %", Sao Tomé-et-Principe,"65,6", Liban,"1,05", Albanie,"06,7","06,8", Sao Tomé-et-Principe,"43,51","4,4 %","33,80","3,4 %",NaN,NaN,NaN,NaN, Mali,"15,5"
 Panama,4 382 000,"87,9","105,9","124,9", Corée du Nord,1.91, Turkménistan,"97,0","104,6", Salvador,"1,89","2,17","16,3","19,1", Namibie,"47,6 %", Sénégal,"64,6", Australie,"1,01", Bhoutan,"06,6","06,1", Timor oriental,"43,91","4,4 %","49,70","5,0 %",NaN,NaN,NaN,NaN, Malte,"40,4"
